,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,HDSigDB_Mouse_2021,Top Endothelial Cell-Expressed Genes In Humans And Mice PMID29892006,54/1077,1.5089424158118158e-25,2.7689093330146823e-22,0,0,7.630814346943379,436.1255982256199,RPL4;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;SLC2A1;RPL8;ACTB;CDH5;RPS14;GJA1;TUBA1B;TUBB5;PCF11;FTH1;KDR;RPLP2;SH3GLB1;CCT3;ANXA2;RPS8;RPL23;RPS5;RPL22;ANXA5;EEF1A1;NCL;ALDOA;GAS5;POMP;CRIP2;ATP5B;PODXL;CCT5;RPL19;CAR2;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;CNBP;COX6C;SOD1;NEDD4;SERBP1;VIM;CYTB;EIF4G2
1,HDSigDB_Mouse_2021,NP1a Neural Progenitor Cell-Enriched Genes PMID30078729,78/2749,1.125057931228906e-21,1.0322406519025213e-18,0,0,4.723374045477985,227.83880742601576,RPL4;ATF2;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;MKI67;PHB2;SPPL3;ACTB;RPS15;RPS14;GJA1;TUBB5;ZMYM2;PPP2R1A;MDK;PCF11;FTH1;C1QBP;RPLP2;TXNL4A;SH3GLB1;EIF5A;CCT3;CCT2;PARP1;RPS5;DCAKD;RPL22;IGFBP2;EEF1A1;EEF1G;ALDOA;GAS5;ANAPC1;ATP5K;CRIP2;GSPT1;ATP5B;LARP1;PPP4C;G3BP1;YKT6;SNX5;CCT5;RPL19;NAA50;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;H19;NASP;RHEB;EIF3L;FASN;NEDD4;SERBP1;VIM;RPS21;EIF4G2
2,HDSigDB_Mouse_2021,eVLMC Embryonic Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729,91/3824,1.2475225744026021e-20,7.630679746762582e-18,0,0,4.215678819249415,193.2068460933903,RPL4;ATF2;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;PHB2;SPPL3;ACTB;RPS15;RPS14;GJA1;TUBB5;LGALS1;ZMYM2;PPP2R1A;MDK;PCF11;FTH1;C1QBP;ANXA6;RPLP2;TXNL4A;PHLDA1;SH3GLB1;EIF5A;CCT3;1810058I24RIK;CCT2;ANXA2;PARP1;RPS5;DCAKD;RPL22;IGFBP2;ANXA5;EEF1A1;EEF1G;SFRP1;UNC50;FKBP4;ALDOA;GAS5;ANAPC1;CRABP2;CRABP1;ATP5K;CRIP2;GSPT1;THBS3;ATP5B;LARP1;PPP4C;G3BP1;YKT6;SNX5;CCT5;RPL19;NAA50;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;AIMP1;H19;NASP;RHEB;EIF3L;FASN;NEDD4;SERBP1;NF1;VIM;RPS21;EIF4G2
3,HDSigDB_Mouse_2021,The Global Proteome Data Of The Insoluble Fraction From The Brains Of Q175 And WT Mice PMID31138642,63/1901,2.1794978087246572e-20,9.998446197524364e-18,0,0,5.092734646894306,230.56137612162092,RPL4;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;SLC2A1;RPL8;PHB2;RPS15;RPS14;GJA1;TUBB5;PPP2R1A;GUK1;FTH1;C1QBP;ANXA6;RPLP2;SH3GLB1;EIF5A;CCT3;CCT2;RPS8;RPL23;RPL22;ANXA5;KRT8;EEF1A1;EEF1G;DKC1;NCL;RPL26;ALDOA;CRYAB;ATP5K;CRIP2;STIP1;ATP5B;LARP1;G3BP1;CCT5;CAR2;HSPA8;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;HSPE1;COX6C;SOD1;RPS26;AIMP1;DLG3;FASN;NEDD4;SERBP1;NF1;VIM;RPS21;EIF4G2
4,HDSigDB_Mouse_2021,Liver RNA M17 Module (Grey60) PMID26900923,20/114,2.9948938377279774e-20,1.0991260384461676e-17,0,0,25.58640373637779,1150.2314855136117,RPL4;RPL41;NPM1;RPL3;RPL32;RPS8;RPL23;RPS5;RPLP0;RPL8;SOD1;RPS15;EEF1A1;AIMP1;RPS26;EEF1G;RPS14;RPLP2;GAS5;RPL19
5,HDSigDB_Mouse_2021,Striatum RNA M22 Module (Darkgreen) PMID26900923,37/613,4.7805845863915944e-20,1.462062119338096e-17,0,0,8.407501889644747,374.02570539611264,RPL4;COX7B;RPL32;POMP;RPLP0;ATP5K;RPL8;PHB2;RPS15;RPS14;PPP4C;PPP2R1A;GUK1;0610012G03RIK;TXNL4A;YKT6;SNX5;EIF5A;CCT3;MBD3;1810058I24RIK;RPL41;NDUFA5;MDH1;RPS8;RPS5;RPL22;COX6C;SOD1;RPS26;AIMP1;EEF1G;EIF3L;RPL29;ALDOA;RPS21;GAS5
6,HDSigDB_Mouse_2021,Insoluble Brain Proteome Of WT And HD R6/2 Mice PMID29166617,52/1380,5.507850091153451e-19,1.443843559609512e-16,0,0,5.484300839722526,230.57614432494304,RPL4;RPL3;DDX3X;HSP90AB1;RPL32;HBA-A2;RPL8;PHB2;RPS14;TUBA1B;TUBB5;PPP2R1A;PCF11;ANXA6;RRP15;EIF5A;CCT3;CCT2;ANXA2;PARP1;RPS8;RPS5;KRT8;EEF1A1;EEF1G;DKC1;NCL;RPL26;ALDOA;RASIP1;GSPT1;STIP1;ATP5B;LARP1;TCOF1;RPL19;MBD3;HSPA8;NPM1;HSPA5;HSPA4;SOD1;RPS26;AIMP1;ACTC1;DLG3;FASN;NEDD4;SERBP1;NF1;VIM;EIF4G2
7,HDSigDB_Mouse_2021,Ribosome Gene Module From Human Brain PMID20616000,18/96,7.015999466308095e-19,1.609294877584419e-16,0,0,27.43929564411492,1146.9879005250284,RPL4;RPL41;RPL3;RPS8;RPLP1;RPL23;CNBP;RPLP0;RPL22;RPL8;HSPE1;RPS15;EEF1A1;RPS14;RPLP2;RPL29;RPS21;RPL19
8,HDSigDB_Mouse_2021,Cerebrospinal Fluid Proteome Of WT And HD R6/2 Mice PMID29166617,41/845,9.770879521915868e-19,1.992173769190624e-16,0,0,6.7798420484987645,281.15808551011753,SPARC;RPL3;DDX3X;HSP90AB1;RPLP1;ACTB;CDH5;ATP5B;LGALS1;PPP2R1A;C1QBP;ANXA6;RPLP2;YKT6;CCT5;EIF5A;CCT3;CAR2;HSPA8;CCT2;NPM1;HSPA5;MDH1;HSPA4;RPS5;IGFBP2;ANXA5;IGF2;HSPE1;SOD1;EEF1A1;AIMP1;EEF1G;ACTC1;DLG3;FASN;NCL;SERBP1;VIM;ALDOA;CRYAB
9,HDSigDB_Mouse_2021,VLMC Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729,65/2194,1.5069086035411873e-18,2.7651772874980783e-16,0,0,4.537795390584604,186.2151107830933,RPL4;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;RPL8;SPPL3;ACTB;RPS15;RPS14;GJA1;TUBB5;LGALS1;ZMYM2;PPP2R1A;MDK;FTH1;ANXA6;RPLP2;TXNL4A;PHLDA1;SH3GLB1;CCT3;1810058I24RIK;CCT2;ANXA2;RPS5;RPL22;IGFBP2;ANXA5;EEF1A1;EEF1G;FKBP4;ALDOA;CRYAB;GAS5;ATP5K;CRIP2;ATP5B;G3BP1;CCT5;RPL19;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;NEDD4;SERBP1;VIM;RPS21;EIF4G2
